Sample_ID,Dose_Ratio,SUVmax_Bias_In(%),MAPE_In(%),CR_In(%),SUVmax_Bias_Out(%),MAPE_Out(%),CR_Out(%)
P0017_D2_Z0035,0.500,20.4257,21.6954,104.7266,-23.0155,16.0355,101.6134
P0017_D2_Z0036,0.500,45.1101,21.3533,100.9160,-21.1536,14.2737,97.1550
P0017_D2_Z0037,0.500,41.7034,22.9740,96.2356,-3.6145,14.4033,93.5070
P0017_D2_Z0038,0.500,74.0374,24.6219,95.7140,11.3768,15.5473,93.9655
P0017_D2_Z0039,0.500,49.1018,22.6032,99.3238,12.6274,14.5257,96.4423
P0017_D2_Z0040,0.500,45.4186,23.5394,102.7468,0.9363,14.7094,98.0986
P0017_D2_Z0041,0.500,69.1468,24.2215,99.0886,-13.0477,14.0236,94.1834
P0017_D2_Z0042,0.500,48.9059,22.6223,98.3919,0.9800,14.0517,96.0247
P0017_D2_Z0043,0.500,45.1091,24.3795,97.2538,-5.5417,15.0982,95.8562
P0017_D2_Z0044,0.500,30.8701,24.9722,96.2453,-11.0762,15.1631,94.9297
P0017_D2_Z0045,0.500,15.6730,23.8914,96.5572,-9.9518,14.7817,96.6018
P0017_D2_Z0046,0.500,21.0754,25.3887,95.7059,4.9105,15.2890,98.0535
P0017_D2_Z0047,0.500,52.3567,23.8824,101.1662,-5.0402,14.8368,101.4331
P0017_D2_Z0048,0.500,36.6852,24.7941,98.3581,-3.7839,14.7236,99.0450
P0017_D2_Z0049,0.500,63.6960,26.2188,98.1989,6.7312,16.0355,99.4105
P0017_D2_Z0050,0.500,55.1441,26.1808,99.4332,-3.2574,15.4119,100.7043
P0017_D2_Z0051,0.500,53.4110,24.8125,99.1172,4.4091,15.4362,101.0827
P0017_D2_Z0052,0.500,57.8138,25.7009,98.2850,1.4715,15.3406,100.1246
P0017_D2_Z0053,0.500,45.4682,26.4743,97.5496,-3.8763,16.2307,99.9092
P0017_D2_Z0054,0.500,38.5176,25.0560,102.3528,-1.2226,16.0141,105.1520
P0017_D2_Z0055,0.500,36.3870,25.3994,102.1073,-3.5858,17.0055,103.6619
P0017_D2_Z0056,0.500,6.6686,22.3119,98.8529,8.8908,15.2340,98.9658
P0017_D2_Z0057,0.500,-13.1236,19.7972,97.0863,-11.2092,14.4851,96.6604
P0017_D2_Z0058,0.500,4.3574,22.6871,95.9879,-1.5297,15.3768,96.7193
P0017_D2_Z0059,0.500,15.5346,22.7320,97.9035,11.2376,16.2218,99.5447
